co_vacina,sg_imunobiologico,ds_nome,registros
90,DILSCRV,"diluente para vacina sarampo, caxumba, rubéola e varicela (atenuada)",43
113,CHIKUNGUNYA,vacina chikungunya (recombinante e atenuada),38
40,VPC7,vacina pneumocócica 7-valente (conjugada),33
75,VCO,vacina cólera (inativada),28
71,Rubéola,vacina rubéola (atenuada),27
32,SALON,soro antilonômico,26
53,DILSR,"diluente para vacina sarampo, rubéola (atenuada)",26
49,DILVFA,diluente para vacina febre amarela (atenuada),24
31,SALOX,soro antiloxoscélico (trivalente),21
96,COV19-Cova,vacina adsorvida covid-19 (inativada),20
50,DILHib,diluente para vacina Haemophilus influenzae B (conjugada),18
117,INF3-alta dosagem,"vacina influenza trivalente (fragmentada, inativada)",14
92,VR-2,vacina raiva (inativada),13
81,DILMenC,diluente para vacina meningocócica C (conjugada),11
54,DILVAR,diluente para vacina varicela (atenuada),9
79,DILBCG,diluente para vacina BCG,8
10,SAD,soro antidiftérico,8
38,SBOTULTRI,soro antibotulínico (trivalente),2
